street_name,town,lat,lng,mrt_dist,school_dist,mall_dist,upcoming_mrt_dist
CANBERRA ST,SEMBAWANG,1.44838178,103.8323809,0.0016243603125399018,0.003493329756553113,0.0015895002752941477,0.03482701275829262
CANBERRA WALK,SEMBAWANG,1.447586329,103.8299432,0.0018733435602118313,0.002744832967184997,0.001421288309573366,0.0341915457386499
CANTONMENT CL,BUKIT MERAH,1.275233944,103.8401659,0.002184247883497709,0.00024581348270913433,0.0011599891928923919,0.0026282779995222692
CANTONMENT RD,CENTRAL AREA,1.276261484,103.8408539,0.0015347366580137954,0.0008304034625913778,0.00150938336017975,0.0035467037054869987
CASHEW RD,BUKIT PANJANG,1.372014788,103.767716,0.0022714471931172537,0.0016397943438739764,0.006441288376805526,0.009441182453811542
CASSIA CRES,GEYLANG,1.310056071,103.8842081,0.0020860062024127234,0.0014219956717575499,0.005224451321976115,0.008590693465430784
CHAI CHEE AVE,BEDOK,1.32516201,103.9246797,0.0017548391496924678,0.003649301022990423,0.0011720793379959879,0.001722075053741187
CHAI CHEE DR,BEDOK,1.324231566,103.9192636,0.0026408806002547716,0.004617874080108514,0.002475093700120955,0.002637328879130598
CHAI CHEE RD,BEDOK,1.325826618,103.9232182,0.0024759215792064366,0.0035561318900098637,0.0015635339912733399,0.0024391838651370975
CHAI CHEE ST,BEDOK,1.328618792,103.9226631,0.004962051707328986,0.000916500892556337,0.003000732484911521,0.004915259129670741
CHANDER RD,CENTRAL AREA,1.308833711,103.8518487,0.0016731861182459132,0.0028666577129986847,0.0014634101013960067,0.012907150768967425
CHANGI VILLAGE RD,PASIR RIS,1.384764384,103.9874016,0.013822675404927072,0.011659252307705951,0.010134557614287337,0.0331345253217704
CHIN SWEE RD,CENTRAL AREA,1.2862913,103.8385359,0.0024207418874366156,0.004109722102076348,0.0017218766874574328,0.00985201097351364
CHOA CHU KANG AVE 1,CHOA CHU KANG,1.376811556,103.7449625,0.004148208668711502,0.001122348882511098,0.0005652269817704702,0.008281325657469151
CHOA CHU KANG AVE 2,CHOA CHU KANG,1.378702022,103.7428207,0.0036029099397388385,0.0009618800254320416,0.0013695091110074871,0.006396191847717218
CHOA CHU KANG AVE 3,CHOA CHU KANG,1.380948962,103.7424212,0.0038156571992929793,0.0010208871255169834,0.0021060217906682926,0.00415820314322033
CHOA CHU KANG AVE 4,CHOA CHU KANG,1.38287293,103.7416159,0.002542181058786344,0.0014892347005192631,0.002297737647651535,0.002275273852477376
CHOA CHU KANG AVE 5,CHOA CHU KANG,1.375729611,103.7393358,0.005681083381462461,0.0020856384026024647,0.0019055655382329171,0.009409789028942036
CHOA CHU KANG AVE 7,CHOA CHU KANG,1.375215342,103.7467141,0.005160009014628111,0.00271255637280863,0.002196997103186044,0.009480525796753854
CHOA CHU KANG CRES,CHOA CHU KANG,1.403441132,103.7480875,0.005966268533910666,0.0006231454800606125,0.005396439079641204,0.018361011990175976
CHOA CHU KANG CTRL,CHOA CHU KANG,1.381257884,103.7467694,0.0032131571350365504,0.00041918141881059083,0.00162216067560754,0.0038611930608771707
CHOA CHU KANG DR,CHOA CHU KANG,1.394243712,103.7463595,0.0032374774774656446,0.0007056472678504543,0.002244984719326955,0.00915906446450063
CHOA CHU KANG LOOP,CHOA CHU KANG,1.384766436,103.7454465,0.0006289237754164336,0.0018342780959391665,0.00030590349915284287,0.00038623219436859714
CHOA CHU KANG NTH 5,CHOA CHU KANG,1.392185815,103.746445,0.0052928689914185315,0.0013842519912694521,0.000604984409240405,0.00710422841950454
CHOA CHU KANG NTH 6,CHOA CHU KANG,1.396502809,103.7475334,0.0009733368968837346,0.0006536064051820168,0.0006036429546551315,0.011425269371800682
CHOA CHU KANG NTH 7,CHOA CHU KANG,1.400961562,103.7471985,0.0034858218126007042,0.0018943106167316594,0.0029142654817719328,0.015877695926265183
CHOA CHU KANG ST 51,CHOA CHU KANG,1.391443481,103.7430209,0.006081567171907279,0.0022527118685817015,0.0006305614279837847,0.006355869030066387
CHOA CHU KANG ST 52,CHOA CHU KANG,1.395010732,103.7439191,0.0025389995138896866,0.0003278901691001768,0.0021252539302818656,0.009918996226876113
CHOA CHU KANG ST 53,CHOA CHU KANG,1.39130375,103.7473075,0.005964430097736695,0.002256776236701226,0.001074746287871303,0.006235354958246271
CHOA CHU KANG ST 54,CHOA CHU KANG,1.395038389,103.7490194,0.0024533600688437774,0.0010704912802284037,0.0020887904648374603,0.009982136523031331
CHOA CHU KANG ST 62,CHOA CHU KANG,1.399064511,103.7467234,0.0015930405693460276,0.002412622056144281,0.0010190339929340424,0.013979020899107535
CHOA CHU KANG ST 64,CHOA CHU KANG,1.397779786,103.7500388,0.0005442516196643337,0.001026881806536391,0.0005743010949164274,0.012728659644093601
CIRCUIT RD,GEYLANG,1.326488332,103.8883414,0.0005344841115291655,0.0014864824359414701,0.0072691432344611645,0.01042586173459202
CLARENCE LANE,QUEENSTOWN,1.29228052,103.8141013,0.002744594318668166,0.0029961810601680343,0.004087846348640877,0.0152214293004552
CLEMENTI AVE 1,CLEMENTI,1.310292585,103.7685056,0.002831102698707863,0.004253606327743198,0.004069432005356931,0.011382030911816696
CLEMENTI AVE 2,CLEMENTI,1.311560781,103.7675998,0.002840205530244813,0.0032810073739083173,0.002780896363549554,0.010183924596034725
CLEMENTI AVE 3,CLEMENTI,1.314043697,103.7634744,0.00115746801146615,0.0010229442417233506,0.00048142160905470185,0.0075489533856929894
CLEMENTI AVE 4,CLEMENTI,1.318791063,103.7661094,0.0036820320095834183,0.0013150323043788724,0.0022414584162239516,0.005388455966228377
CLEMENTI AVE 5,CLEMENTI,1.317396711,103.7680697,0.002392846245486478,0.0012046469349286837,0.0009523754050872867,0.006315709976365807
CLEMENTI AVE 6,CLEMENTI,1.323191477,103.7642327,0.008078751349214321,0.004064453323014015,0.006661588761408562,0.0052567134451072
CLEMENTI ST 11,CLEMENTI,1.322345314,103.7704586,0.007347422768798577,0.0039051477567618293,0.005885230984083935,0.00671212460774612
CLEMENTI ST 12,CLEMENTI,1.322715466,103.7699552,0.007691375050086908,0.004140760561252116,0.006230610453280263,0.006703465376257354
CLEMENTI ST 13,CLEMENTI,1.323700458,103.7711795,0.008712437369010928,0.00514120342521555,0.006267462619158405,0.006547436636190711
CLEMENTI ST 14,CLEMENTI,1.323202594,103.7688008,0.008136112616648044,0.004430647937694025,0.006680500210146811,0.0062211312865890845
CLEMENTI WEST ST 1,CLEMENTI,1.304818633,103.7666794,0.006377153142126998,0.006264695032949382,0.0012417032354343747,0.016159625936234073
CLEMENTI WEST ST 2,CLEMENTI,1.303844368,103.7627712,0.007642842846962891,0.006651587532160059,0.0009166180120803791,0.016783333512648414
COMPASSVALE BOW,SENGKANG,1.381624356,103.8936426,0.0020727812151750424,0.0012745198616192638,0.0013682176087789748,0.02801409965541246
COMPASSVALE CRES,SENGKANG,1.397457411,103.8981839,0.0057304980438032905,0.0026346087533904395,0.004187849875951216,0.017947378095515644
COMPASSVALE DR,SENGKANG,1.388027733,103.8969022,0.0037268485090010094,0.0015006157585184428,0.0026896885448205675,0.02735634146503681
COMPASSVALE LANE,SENGKANG,1.385811104,103.8983276,0.002331170132790449,0.0015369026739073576,0.0007404856693056256,0.02836296136478738
COMPASSVALE LINK,SENGKANG,1.383919796,103.8952547,0.0004678557173609321,0.0007403484980955149,0.0010501634212271703,0.027953800356075902
COMPASSVALE RD,SENGKANG,1.390575789,103.8974222,0.0012192831353082703,0.0011578540176964158,0.0015372874083085094,0.024809275536978426
COMPASSVALE ST,SENGKANG,1.39541804,103.8981047,0.0037003239522308234,0.0016137790420785202,0.002908315538832201,0.019976703950623422
COMPASSVALE WALK,SENGKANG,1.389686735,103.8985494,0.002130214194365553,0.0002898344561870416,0.0024483553664039746,0.0256791204268065
CORPORATION DR,JURONG WEST,1.333194265,103.7232386,0.004452297809377046,0.004471907176691277,0.0017744583755067006,0.004447324631117697
CRAWFORD LANE,KALLANG/WHAMPOA,1.305302898,103.8624886,0.0018923400224383367,0.006916890049086988,0.003094939844272699,0.008555971460806142
DAKOTA CRES,GEYLANG,1.306642859,103.8859651,0.0009062067950943215,0.003954968287274065,0.004899031287452207,0.006408365627017051
DAWSON RD,QUEENSTOWN,1.29487286,103.8105579,0.0012631291084985348,0.0010908516525293492,0.006013773831280263,0.016499259044261052
DELTA AVE,BUKIT MERAH,1.292116381,103.8273343,0.0025341943913379985,0.0011197742491017078,0.0018630655616225992,0.011578656118722342
DEPOT RD,BUKIT MERAH,1.281715639,103.8097983,0.006613728611542116,0.004207335952004794,0.005711687632466808,0.011816179181077323
DORSET RD,KALLANG/WHAMPOA,1.313637471,103.850291,0.0012403433385204856,0.0012745700061710578,0.0027459081104566005,0.017466281392534887
DOVER CL EAST,QUEENSTOWN,1.303885233,103.786142,0.002634647926864164,0.002886556502862916,0.0016386625837948405,0.019247668151337254
DOVER CRES,QUEENSTOWN,1.305861942,103.78272,0.0020420941472145656,0.004910988354981286,0.001568011232536112,0.01709784397385058
DOVER RD,QUEENSTOWN,1.303881481,103.7794345,0.0037372021892485827,0.0032903030025823172,0.0028191975613921488,0.018368958311157934
EDGEDALE PLAINS,PUNGGOL,1.398629186,103.9133489,0.006074819254427545,0.0009208981234981717,0.00419437726353407,0.016654807910595926
EDGEFIELD PLAINS,PUNGGOL,1.401002283,103.9091504,0.003597641801196753,0.0009372505977872792,0.0019600850551280058,0.014281236369246409
ELIAS RD,PASIR RIS,1.377882413,103.9414209,0.0051066129080477,0.0006179422138920193,0.00017688882260547282,0.03772101461727305
EMPRESS RD,BUKIT TIMAH,1.317450415,103.8063116,0.0002678307623318741,0.0034159159053158256,0.006984768846378109,0.015500420340827962
EUNOS CRES,GEYLANG,1.321623158,103.9037725,0.0018445781281517788,0.004449023268704225,0.003426460280729539,0.006883500950186924
EUNOS RD 5,GEYLANG,1.320700848,103.8960855,0.001993898490522345,0.0043540437343343,0.0017296337119014843,0.008989882706972882
EVERTON PK,BUKIT MERAH,1.276993939,103.8392431,0.001997466041606097,0.0015356868034866087,0.001982548958567756,0.004247309130826545
FAJAR RD,BUKIT PANJANG,1.384319487,103.7701484,0.004878691696912067,0.0007449436940904949,0.0007567036952343765,0.004840265446597662
FARRER PK RD,KALLANG/WHAMPOA,1.311735223,103.851004,0.0017007458471475,0.0006363643175792089,0.001446475471744623,0.01563321880500691
FARRER RD,BUKIT TIMAH,1.317630189,103.8077622,0.00021378617438011299,0.0032173114421581678,0.006947721983263865,0.01582394811270561
FERNVALE LANE,SENGKANG,1.389579758,103.8710132,0.004893963216503558,0.0009503544380986877,0.0021008955183068946,0.023527976724901815
FERNVALE LINK,SENGKANG,1.394262583,103.8790449,0.003848324159383633,0.0015690334642674841,0.002839830071339831,0.021672548971574872
FERNVALE RD,SENGKANG,1.394119314,103.8760449,0.004182033876661838,0.0012815804974363216,0.002649198698663366,0.021937334028456025
FERNVALE ST,SENGKANG,1.398478411,103.8801824,0.0069722827828469745,0.004166007479393173,0.0069296675945014685,0.017541272110281222
FRENCH RD,KALLANG/WHAMPOA,1.30814608,103.861193,0.0008602726289076186,0.005004386856868662,0.0023378128121155344,0.011359756410111698
GANGSA RD,BUKIT PANJANG,1.378131593,103.7662355,0.0017235709171519327,0.001534116949673772,0.0005388593883305901,0.008088488924518267
GEYLANG BAHRU,KALLANG/WHAMPOA,1.32154463,103.8712166,0.00026333596083034347,0.0014578696279692552,0.005960052598576812,0.014650184241831666
GEYLANG EAST AVE 1,GEYLANG,1.317400145,103.8853632,0.001132561501137564,0.0004256019333373394,0.0018857062058301151,0.012894133367792455
GEYLANG EAST AVE 2,GEYLANG,1.317906819,103.8887329,0.0011027156174603697,0.0012635600023910346,0.0011108216044313614,0.011909998412705463
GEYLANG EAST CTRL,GEYLANG,1.319148663,103.8868264,0.0023365467302506404,0.001726166995017828,0.0014721107405483184,0.01172415451330846
GEYLANG SERAI,GEYLANG,1.317113099,103.8973732,0.001289740386450469,0.003425381743011594,0.001195541858051023,0.010647214290833524
GHIM MOH LINK,QUEENSTOWN,1.309992763,103.7851481,0.002178053007210729,0.006687217013640235,0.002628959762262673,0.01425774180625916
GHIM MOH RD,QUEENSTOWN,1.311952319,103.7874347,0.002318145174400609,0.004790756787861411,0.0026880589026438235,0.01338423936602285
GLOUCESTER RD,KALLANG/WHAMPOA,1.313126393,103.8520501,0.0006893300050804882,0.0008255000426988038,0.002071175499709495,0.016830559321802357
HAIG RD,GEYLANG,1.309564733,103.8977057,0.0024603205163891526,0.0027283166349245684,0.004743455496983399,0.005414793601066553
HAVELOCK RD,BUKIT MERAH,1.289196569,103.8359101,0.000946639984015205,0.0038317005156909443,0.0029993614893801426,0.009441568008887964
HENDERSON CRES,BUKIT MERAH,1.288945586,103.82171,0.0015427750548002686,0.002504352197392685,0.003191163987944385,0.013355583153680578
HENDERSON RD,BUKIT MERAH,1.28060357,103.8176054,0.006192609582571467,0.004318807583427234,0.006424671967096934,0.009548556394521467
HO CHING RD,JURONG WEST,1.33471445,103.7241528,0.004454881370483061,0.0033102264342265873,0.0008728190917866752,0.004409309817474614
