,month,cpi,year
252,2,75.097,2003
251,3,75.307,2003
250,4,75.46,2003
249,5,74.981,2003
248,6,74.757,2003
247,7,75.224,2003
246,8,75.312,2003
245,9,75.392,2003
244,10,75.34,2003
243,11,75.443,2003
242,12,75.578,2003
241,1,75.741,2004
240,2,76.613,2004
239,3,76.051,2004
238,4,76.564,2004
237,5,76.747,2004
236,6,76.147,2004
235,7,76.758,2004
234,8,76.659,2004
233,9,76.816,2004
232,10,76.788,2004
231,11,76.767,2004
230,12,76.569,2004
229,1,76.038,2005
228,2,76.597,2005
227,3,76.373,2005
226,4,76.843,2005
225,5,76.72,2005
224,6,76.02,2005
223,7,76.817,2005
222,8,77.18,2005
221,9,77.289,2005
220,10,77.604,2005
219,11,77.509,2005
218,12,77.534,2005
217,1,77.355,2006
216,2,77.509,2006
215,3,77.252,2006
214,4,77.673,2006
213,5,77.556,2006
212,6,77.069,2006
211,7,77.651,2006
210,8,77.694,2006
209,9,77.627,2006
208,10,77.93,2006
207,11,77.93,2006
206,12,78.161,2006
205,1,76.904,2007
204,2,77.479,2007
203,3,77.43,2007
202,4,78.025,2007
201,5,78.537,2007
200,6,78.384,2007
199,7,79.958,2007
198,8,80.374,2007
197,9,79.963,2007
196,10,81.095,2007
195,11,81.716,2007
194,12,81.147,2007
193,1,82.002,2008
192,2,82.558,2008
191,3,82.632,2008
190,4,83.933,2008
189,5,84.451,2008
188,6,84.296,2008
187,7,85.216,2008
186,8,85.544,2008
185,9,85.361,2008
184,10,86.304,2008
183,11,86.245,2008
182,12,85.501,2008
181,1,85.507,2009
180,2,85.236,2009
179,3,84.751,2009
178,4,84.206,2009
177,5,84.656,2009
176,6,84.283,2009
175,7,85.003,2009
174,8,85.307,2009
173,9,85.008,2009
172,10,85.521,2009
171,11,85.566,2009
170,12,85.05,2009
169,1,85.682,2010
168,2,86.048,2010
167,3,86.115,2010
166,4,86.901,2010
165,5,87.402,2010
164,6,86.567,2010
163,7,87.676,2010
162,8,88.081,2010
161,9,88.129,2010
160,10,88.525,2010
159,11,88.818,2010
158,12,88.954,2010
157,1,90.405,2011
156,2,90.339,2011
155,3,90.458,2011
154,4,90.774,2011
153,5,91.318,2011
152,6,91.103,2011
151,7,92.448,2011
150,8,93.115,2011
149,9,92.941,2011
148,10,93.322,2011
147,11,93.842,2011
146,12,93.877,2011
145,1,94.748,2012
144,2,94.491,2012
143,3,95.207,2012
142,4,95.718,2012
141,5,95.917,2012
140,6,95.924,2012
139,7,96.146,2012
138,8,96.744,2012
137,9,97.298,2012
136,10,97.1,2012
135,11,97.225,2012
134,12,97.936,2012
133,1,98.121,2013
132,2,99.107,2013
131,3,98.574,2013
130,4,97.112,2013
129,5,97.457,2013
128,6,97.656,2013
127,7,97.929,2013
126,8,98.718,2013
125,9,98.865,2013
124,10,99.02,2013
123,11,99.72,2013
122,12,99.404,2013
121,1,99.506,2014
120,2,99.484,2014
119,3,99.749,2014
118,4,99.342,2014
117,5,99.676,2014
116,6,99.508,2014
115,7,99.213,2014
114,8,99.742,2014
113,9,99.553,2014
112,10,99.255,2014
111,11,99.441,2014
110,12,99.328,2014
109,1,99.114,2015
108,2,99.211,2015
107,3,99.449,2015
106,4,98.829,2015
105,5,99.279,2015
104,6,99.171,2015
103,7,98.818,2015
102,8,98.911,2015
101,9,98.912,2015
100,10,98.487,2015
99,11,98.684,2015
98,12,98.693,2015
97,1,98.476,2016
96,2,98.375,2016
95,3,98.416,2016
94,4,98.365,2016
93,5,97.724,2016
92,6,98.449,2016
91,7,98.173,2016
90,8,98.657,2016
89,9,98.666,2016
88,10,98.383,2016
87,11,98.699,2016
86,12,98.854,2016
85,1,99.026,2017
84,2,99.023,2017
83,3,99.064,2017
82,4,98.762,2017
81,5,99.098,2017
80,6,98.956,2017
79,7,98.726,2017
78,8,99.056,2017
77,9,99.036,2017
76,10,98.75,2017
75,11,99.322,2017
74,12,99.225,2017
73,1,99.035,2018
72,2,99.501,2018
71,3,99.299,2018
70,4,98.833,2018
69,5,99.449,2018
68,6,99.505,2018
67,7,99.359,2018
66,8,99.778,2018
65,9,99.753,2018
64,10,99.447,2018
63,11,99.61,2018
62,12,99.686,2018
61,1,99.387,2019
60,2,99.953,2019
59,3,99.972,2019
58,4,99.753,2019
57,5,100.325,2019
56,6,100.038,2019
55,7,99.587,2019
54,8,100.209,2019
53,9,100.147,2019
52,10,99.93,2019
51,11,100.254,2019
50,12,100.445,2019
49,1,100.204,2020
48,2,100.279,2020
47,3,99.933,2020
46,4,99.012,2020
45,5,99.48,2020
44,6,99.5,2020
43,7,99.178,2020
42,8,99.807,2020
41,9,100.139,2020
40,10,99.711,2020
39,11,100.105,2020
38,12,100.469,2020
37,1,100.44,2021
36,2,101.015,2021
35,3,101.239,2021
34,4,101.07,2021
33,5,101.883,2021
32,6,101.87,2021
31,7,101.672,2021
30,8,102.231,2021
29,9,102.657,2021
28,10,102.95,2021
27,11,103.959,2021
26,12,104.439,2021
25,1,104.472,2022
24,2,105.379,2022
23,3,106.691,2022
22,4,106.547,2022
21,5,107.598,2022
20,6,108.671,2022
19,7,108.836,2022
18,8,109.863,2022
17,9,110.339,2022
16,10,109.893,2022
15,11,110.959,2022
14,12,111.186,2022
13,1,111.397,2023
12,2,112.019,2023
11,3,112.583,2023
10,4,112.669,2023
9,5,113.034,2023
8,6,113.576,2023
7,7,113.309,2023
6,8,114.303,2023
5,9,114.88,2023
4,10,115.111,2023
3,11,114.91,2023
2,12,115.343,2023
1,1,114.572,2024
0,2,115.772,2024
